组播测试,#genre#
邱县电视,http://121.29.91.219:7077/rtp/239.253.93.158:6326
赤城电视,http://121.29.91.219:7077/rtp/239.253.93.160:6328
康保电视,http://121.29.91.219:7077/rtp/239.253.93.165:6333
遵化电视,http://121.29.91.219:7077/rtp/239.253.93.177:6345
昌黎电视,http://121.29.91.219:7077/rtp/239.253.92.109:6217
抚宁电视,http://121.29.91.219:7077/rtp/239.253.93.201:6379
卢龙电视,http://121.29.91.219:7077/rtp/239.253.93.206:6384
丰南电视,http://121.29.91.219:7077/rtp/239.253.92.231:6070
迁西电视,http://121.29.91.219:7077/rtp/239.253.92.247:6091
滦南电视,http://121.29.91.219:7077/rtp/239.253.92.218:6100
玉田电视,http://121.29.91.219:7077/rtp/239.253.92.118:6133
滦州电视,http://121.29.91.219:7077/rtp/239.253.92.97:6138
香河电视,http://121.29.91.219:7077/rtp/239.253.92.185:6049
大城电视,http://121.29.91.219:7077/rtp/239.253.92.230:6068
大厂电视,http://121.29.91.219:7077/rtp/239.253.92.253:6244
固安电视,http://121.29.91.219:7077/rtp/239.253.93.109:6276
文安电视,http://121.29.91.219:7077/rtp/239.253.93.111:6278
三河电视,http://121.29.91.219:7077/rtp/239.253.93.143:6311
永清电视,http://121.29.91.219:7077/rtp/239.253.93.172:6340
成安电视,http://121.29.91.219:7077/rtp/239.253.93.178:6346
魏县电视,http://121.29.91.219:7077/rtp/239.253.93.185:6353
霸州综合,http://121.29.91.219:7077/rtp/239.253.93.209:6387
黄骅电视,http://121.29.91.219:7077/rtp/239.253.92.183:6047
东光电视,http://121.29.91.219:7077/rtp/239.253.93.96:6262
青县电视,http://121.29.91.219:7077/rtp/239.253.93.139:6307
盐山电视,http://121.29.91.219:7077/rtp/239.253.93.144:6312
南皮电视,http://121.29.91.219:7077/rtp/239.253.93.149:6317
肃宁电视,http://121.29.91.219:7077/rtp/239.253.93.152:6320
吴桥电视,http://121.29.91.219:7077/rtp/239.253.93.169:6337
丰宁综合,http://121.29.91.219:7077/rtp/239.253.93.210:6388
定兴电视,http://121.29.91.219:7077/rtp/239.253.93.14:6167
阜平电视,http://121.29.91.219:7077/rtp/239.253.93.16:6169
涞水电视,http://121.29.91.219:7077/rtp/239.253.93.17:6170
满城电视,http://121.29.91.219:7077/rtp/239.253.93.19:6172
涞源电视,http://121.29.91.219:7077/rtp/239.253.93.22:6175
高碑店电视,http://121.29.91.219:7077/rtp/239.253.93.23:6176
清苑电视,http://121.29.91.219:7077/rtp/239.253.93.24:6177
涿州电视,http://121.29.91.219:7077/rtp/239.253.93.27:6180
唐县电视,http://121.29.91.219:7077/rtp/239.253.93.30:6183
曲阳电视,http://121.29.91.219:7077/rtp/239.253.93.31:6184
望都电视,http://121.29.91.219:7077/rtp/239.253.93.32:6185
定州电视,http://121.29.91.219:7077/rtp/239.253.93.95:6260
高阳电视,http://121.29.91.219:7077/rtp/239.253.93.105:6272
安新电视,http://121.29.91.219:7077/rtp/239.253.93.107:6274
容城电视,http://121.29.91.219:7077/rtp/239.253.93.110:6277
临城电视,http://121.29.91.219:7077/rtp/239.253.93.167:6335
柏乡电视,http://121.29.91.219:7077/rtp/239.253.93.171:6339
涿鹿电视,http://121.29.91.219:7077/rtp/239.253.93.181:6349
徐水电视,http://121.29.91.219:7077/rtp/239.253.93.182:6350
大名电视,http://121.29.91.219:7077/rtp/239.253.93.186:6354
巨鹿电视,http://121.29.91.219:7077/rtp/239.253.92.254:6449
临西电视,http://121.29.91.219:7077/rtp/239.253.94.29:6628
冀州电视,http://121.29.91.219:7077/rtp/239.253.93.34:6187
安平电视,http://121.29.91.219:7077/rtp/239.253.93.36:6189
景县电视,http://121.29.91.219:7077/rtp/239.253.93.38:6191
饶阳电视,http://121.29.91.219:7077/rtp/239.253.93.40:6193
深州电视,http://121.29.91.219:7077/rtp/239.253.93.42:6195
武强电视,http://121.29.91.219:7077/rtp/239.253.93.79:6245
